track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
OMG,NewJeans,1.0,2023.0,1.0,2.0,1783.0,27.0,430977451,26.0,124.0,15,1.0,22,127.0,A,Minor,80.0,74.0,77.0,36.0,0.0,11.0,4.0
Radio,Lana Del Rey,1.0,2011.0,1.0,1.0,9389.0,46.0,284819874,wrong_type,wrong_type,282,3.0,368,150.0,D,Major,42.0,20.0,86.0,21.0,0.0,9.0,9.0
"Shakira: Bzrp Music Sessions, Vol. 53","Shakira, Bizarrap",2.0,2023.0,1.0,11.0,5724.0,44.0,721975598,119.0,108.0,254,29.0,22,122.0,D,Minor,78.0,50.0,63.0,27.0,0.0,9.0,5.0
505,Arctic Monkeys,1.0,2007.0,4.0,,13985.0,25.0,1217120710,30.0,80.0,588,1.0,1,140.0,,Major,52.0,20.0,85.0,0.0,0.0,7.0,5.0
"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)","Swae Lee, A Boogie Wit da Hoodie, Metro Boomin, NAV",4.0,2023.0,6.0,2.0,,16.0,109276132,31.0,37.0,31,,189,140.0,,Major,63.0,22.0,54.0,46.0,,12.0,8.0
Trance (with Travis Scott & Young Thug),"Travis Scott, Young Thug, Metro Boomin",3.0,2022.0,12.0,2.0,1682.0,46.0,276259178,24.0,90.0,30,1.0,176,119.0,C#,Minor,75.0,48.0,53.0,18.0,0.0,18.0,34.0
"Tere Vaaste (From ""Zara Hatke Zara Bachke"")","Sachin-Jigar, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya, Varun Jain",5.0,2023.0,5.0,22.0,182.0,wrong_type,54225632,3.0,88.0,1,0.0,52,110.0,G,Minor,76.0,96.0,,32.0,0.0,9.0,4.0
Perfect,Ed Sheeran,1.0,2017.0,1.0,1.0,16596.0,13.0,2559529074,7.0,0.0,"2,094",0.0,0,95.0,G#,Major,60.0,17.0,45.0,16.0,0.0,11.0,2.0
Romantic Homicide,d4vd,1.0,2022.0,7.0,20.0,2335.0,23.0,681583126,82.0,55.0,50,0.0,9,132.0,F#,Major,56.0,20.0,55.0,45.0,1.0,32.0,3.0
Believer,Imagine Dragons,1.0,2017.0,1.0,31.0,18986.0,23.0,2594040133,250.0,121.0,"2,969",wrong_type,31,125.0,A#,Minor,77.0,74.0,78.0,4.0,0.0,23.0,wrong_type
Novo Balanï¿½,"Veigh, Bvga Beatz, Supernova Ent, Prod Malax",4.0,2023.0,5.0,19.0,283.0,7.0,81102253,6.0,9.0,26,1.0,66,124.0,D#,Minor,wrong_type,,50.0,67.0,0.0,,6.0
"Gol Bolinha, Gol Quadrado 2","Mc Pedrinho, DJ 900",2.0,2023.0,wrong_type,1.0,293.0,8.0,11956641,5.0,2.0,30,wrong_type,66,133.0,B,Minor,93.0,68.0,65.0,42.0,0.0,12.0,25.0
Without Me,Eminem,1.0,2002.0,1.0,1.0,21081.0,43.0,1687664027,98.0,76.0,"3,889",5.0,0,,G,Major,92.0,67.0,66.0,0.0,0.0,,9.0
QUEMA,"Sog, Ryan Castro, Peso Pluma",3.0,2023.0,7.0,13.0,437.0,31.0,11599388,17.0,wrong_type,26,3.0,208,97.0,,Major,79.0,92.0,89.0,5.0,0.0,wrong_type,wrong_type
Stargirl Interlude,"The Weeknd, Lana Del Rey",2.0,2016.0,11.0,24.0,1275.0,32.0,611700552,13.0,8.0,5,0.0,1,90.0,F,Minor,59.0,52.0,48.0,38.0,5.0,10.0,11.0
Ojitos Lindos,"Bomba Estï¿½ï¿½reo, Bad B",2.0,2022.0,5.0,6.0,6135.0,38.0,1133865788,wrong_type,113.0,99,13.0,28,80.0,D#,Minor,65.0,27.0,69.0,8.0,0.0,53.0,4.0
Somewhere Only We Know,Keane,1.0,2004.0,1.0,1.0,20015.0,16.0,1089402494,107.0,,"5,239",0.0,558,172.0,A,Major,45.0,33.0,59.0,,,8.0,3.0
Those Eyes,New West,1.0,2019.0,5.0,10.0,1507.0,14.0,411747614,24.0,71.0,44,1.0,195,120.0,E,Major,60.0,24.0,35.0,wrong_type,0.0,31.0,3.0
El Gordo Trae El Mando,Chino Pacas,1.0,2023.0,1.0,27.0,539.0,21.0,255932395,7.0,71.0,4,2.0,13,140.0,G,Minor,74.0,96.0,80.0,18.0,0.0,5.0,5.0
Mi Bello Angel,Natanael Cano,1.0,2023.0,6.0,30.0,86.0,,31873544,7.0,76.0,3,1.0,93,wrong_type,A,Minor,81.0,90.0,77.0,1.0,0.0,9.0,5.0
Bye,Peso Pluma,1.0,2023.0,5.0,26.0,324.0,14.0,95053634,13.0,110.0,8,2.0,60,122.0,,Major,78.0,70.0,81.0,57.0,0.0,wrong_type,5.0
Danza Kuduro,"Don Omar, Lucenzo",2.0,2010.0,1.0,1.0,17138.0,37.0,1279434863,,81.0,974,1.0,503,130.0,,Major,47.0,86.0,92.0,wrong_type,0.0,5.0,24.0
Nosso Quadro,"Ana Castela, AgroPlay",2.0,2023.0,2.0,2.0,894.0,9.0,233801632,14.0,88.0,66,3.0,72,,A,Major,wrong_type,61.0,71.0,33.0,0.0,31.0,20.0
Locked Out Of Heaven,Bruno Mars,1.0,2012.0,12.0,5.0,1622.0,9.0,1481349984,,wrong_type,356,wrong_type,0,144.0,F,Major,,87.0,70.0,6.0,0.0,28.0,5.0
Un Finde | CROSSOVER #2,"Big One, FMK, Ke personajes",3.0,2023.0,4.0,4.0,561.0,14.0,142095275,4.0,14.0,12,5.0,56,192.0,B,Major,50.0,,52.0,11.0,0.0,28.0,6.0
Jimmy Cooks (feat. 21 Savage),"Drake, 21 Savage",2.0,2022.0,6.0,17.0,5871.0,27.0,618885532,81.0,121.0,58,1.0,34,163.0,,Major,54.0,40.0,67.0,0.0,0.0,9.0,17.0
Counting Stars,OneRepublic,1.0,2013.0,1.0,1.0,29215.0,43.0,2011464183,179.0,97.0,"3,394",11.0,153,122.0,C#,Minor,66.0,48.0,71.0,6.0,wrong_type,12.0,4.0
Ghost,Justin Bieber,1.0,2021.0,3.0,19.0,5866.0,24.0,1167330737,107.0,38.0,95,0.0,,154.0,D,Major,,41.0,74.0,21.0,0.0,40.0,6.0
Under The Influence,Chris Brown,,2019.0,10.0,4.0,3859.0,26.0,929964809,133.0,181.0,3,0.0,,117.0,A,Minor,73.0,31.0,69.0,6.0,0.0,11.0,wrong_type
PRC,"Natanael Cano, Peso Pluma",2.0,2023.0,wrong_type,23.0,961.0,26.0,436027885,19.0,143.0,10,6.0,15,wrong_type,G,Minor,78.0,89.0,83.0,10.0,0.0,12.0,5.0
Gasolina,Daddy Yankee,1.0,2004.0,7.0,13.0,6457.0,18.0,657723613,,95.0,453,0.0,454,96.0,,Major,,74.0,80.0,33.0,0.0,,6.0
One Dance,"Drake, WizKid, Kyla",3.0,2016.0,4.0,4.0,43257.0,24.0,2713922350,433.0,107.0,"3,631",wrong_type,26,104.0,C#,Major,77.0,36.0,wrong_type,1.0,0.0,36.0,5.0
Enchanted,Taylor Swift,1.0,2010.0,1.0,1.0,4564.0,16.0,621660989,24.0,101.0,113,0.0,40,164.0,G#,Major,45.0,24.0,62.0,8.0,0.0,16.0,3.0
Save Your Tears,The Weeknd,1.0,2020.0,3.0,20.0,12688.0,13.0,1591223784,wrong_type,115.0,112,0.0,200,118.0,,Major,68.0,61.0,82.0,2.0,0.0,50.0,3.0
Sure Thing,Miguel,1.0,wrong_type,5.0,25.0,13801.0,19.0,950906471,137.0,125.0,435,6.0,285,wrong_type,B,Minor,68.0,51.0,60.0,3.0,0.0,19.0,10.0
Every Breath You Take - Remastered 2003,The Police,1.0,wrong_type,1.0,6.0,22439.0,19.0,1593270737,211.0,74.0,929,wrong_type,129,117.0,C#,Major,82.0,73.0,,54.0,0.0,7.0,3.0
The Night We Met,Lord Huron,1.0,2015.0,2.0,2.0,18515.0,35.0,1410088830,70.0,82.0,939,1.0,162,174.0,D,Major,45.0,10.0,37.0,97.0,25.0,64.0,4.0
We Found Love,"Rihanna, Calvin Harris",2.0,2011.0,1.0,1.0,36843.0,21.0,1235005533,321.0,91.0,"4,607",,58,128.0,C#,Major,73.0,60.0,77.0,wrong_type,0.0,11.0,4.0
When I Was Your Man,Bruno Mars,wrong_type,2012.0,12.0,5.0,2420.0,11.0,1661187319,0.0,0.0,806,0.0,0,145.0,,Major,60.0,43.0,27.0,94.0,0.0,14.0,4.0
Let Me Down Slowly,Alec Benjamin,1.0,2018.0,5.0,25.0,5897.0,19.0,1374581173,0.0,0.0,885,,0,150.0,C#,Minor,65.0,51.0,55.0,73.0,0.0,14.0,3.0
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)","A$AP Rocky, Metro Boomin, Roisee",3.0,2023.0,6.0,2.0,727.0,16.0,94186466,17.0,wrong_type,28,1.0,44,90.0,A,Minor,60.0,13.0,53.0,4.0,0.0,21.0,4.0
Do I Wanna Know?,Arctic Monkeys,1.0,2013.0,wrong_type,1.0,33783.0,26.0,1788326445,133.0,wrong_type,"2,733",1.0,26,,F,Major,55.0,42.0,53.0,17.0,0.0,22.0,3.0
Demons,Imagine Dragons,1.0,2012.0,1.0,1.0,26694.0,13.0,1840364617,65.0,82.0,"3,425",4.0,13,180.0,D#,Major,33.0,38.0,71.0,20.0,0.0,28.0,wrong_type
ýýýýýýýýýýýý,YOASOBI,1.0,2023.0,4.0,wrong_type,356.0,16.0,143573775,35.0,102.0,8,1.0,117,166.0,C#,Major,57.0,84.0,94.0,11.0,0.0,37.0,9.0
Reminder,The Weeknd,1.0,2016.0,11.0,25.0,6518.0,17.0,684675814,wrong_type,85.0,238,1.0,47,160.0,G#,Major,71.0,40.0,50.0,16.0,0.0,16.0,22.0
Shake It Off,Taylor Swift,1.0,2014.0,1.0,1.0,21335.0,13.0,1113838873,328.0,70.0,"1,378",9.0,20,160.0,G,Major,65.0,95.0,80.0,5.0,0.0,41.0,16.0
Why'd You Only Call Me When You're High?,Arctic Monkeys,1.0,2013.0,1.0,1.0,23389.0,29.0,1267333350,54.0,70.0,"1,089",2.0,1,92.0,D,Major,70.0,81.0,wrong_type,4.0,0.0,8.0,4.0
SNAP,Rosa Linn,1.0,2022.0,3.0,19.0,3202.0,18.0,726307468,wrong_type,,226,24.0,0,170.0,,Major,56.0,wrong_type,wrong_type,11.0,0.0,45.0,6.0
Shape of You,Ed Sheeran,1.0,2017.0,1.0,6.0,32181.0,10.0,3562543890,33.0,0.0,"6,808",7.0,0,96.0,C#,Minor,83.0,93.0,65.0,58.0,wrong_type,9.0,8.0
Night Changes,One Direction,1.0,wrong_type,11.0,17.0,wrong_type,18.0,1131090940,60.0,20.0,2,0.0,,120.0,G#,Major,67.0,40.0,52.0,86.0,0.0,12.0,4.0
Fin de Semana,"Oscar Maydon, Junior H",2.0,2023.0,1.0,13.0,592.0,14.0,307370144,11.0,84.0,6,1.0,30,98.0,,Major,70.0,37.0,54.0,6.0,0.0,9.0,8.0
Creep,Radiohead,1.0,1992.0,9.0,wrong_type,36724.0,7.0,1271293243,146.0,72.0,"6,807",5.0,80,92.0,G,Major,53.0,12.0,34.0,1.0,,12.0,4.0
Car's Outside,James Arthur,1.0,2019.0,10.0,18.0,794.0,10.0,265882712,38.0,25.0,61,0.0,263,150.0,A,Major,34.0,24.0,56.0,4.0,0.0,11.0,3.0
Apocalypse,Cigarettes After Sex,1.0,2017.0,3.0,21.0,13091.0,17.0,841749534,61.0,96.0,790,2.0,116,94.0,F,Major,37.0,17.0,47.0,2.0,46.0,,3.0
Cheques,Shubh,1.0,2023.0,wrong_type,19.0,67.0,8.0,47956378,7.0,10.0,0,0.0,57,90.0,E,Minor,74.0,36.0,63.0,26.0,0.0,27.0,5.0
Pink + White,Frank Ocean,1.0,2016.0,8.0,20.0,21574.0,30.0,806397070,112.0,68.0,266,1.0,39,160.0,A,Major,54.0,54.0,55.0,67.0,0.0,42.0,11.0
Circles,Post Malone,1.0,2019.0,8.0,30.0,19664.0,16.0,2132335812,391.0,wrong_type,633,3.0,37,120.0,,Major,70.0,59.0,75.0,24.0,0.0,9.0,4.0
Just The Way You Are,Bruno Mars,1.0,2010.0,1.0,1.0,21106.0,13.0,1641426668,82.0,0.0,"2,946",0.0,0,109.0,F,Major,63.0,46.0,85.0,1.0,0.0,wrong_type,5.0
Take Me To Church,Hozier,1.0,2013.0,9.0,13.0,23804.0,31.0,2135158446,187.0,99.0,"4,623",,0,129.0,E,Minor,57.0,41.0,66.0,63.0,0.0,12.0,5.0
Bebe Dame,"Fuerza Regida, Grupo Frontera",2.0,2022.0,12.0,wrong_type,849.0,22.0,367316268,27.0,129.0,21,7.0,111,157.0,G,Major,54.0,75.0,60.0,30.0,0.0,7.0,5.0
You Belong With Me (Taylorï¿½ï¿½ï¿½s Ve,Taylor Swift,1.0,2021.0,4.0,wrong_type,2619.0,12.0,350381515,47.0,wrong_type,1,0.0,7,130.0,F#,Major,63.0,49.0,73.0,5.0,0.0,9.0,3.0
Titi Me Preguntï¿,Bad Bunny,1.0,2022.0,5.0,,9037.0,42.0,1264310836,124.0,wrong_type,139,14.0,166,wrong_type,F,Minor,,19.0,72.0,10.0,0.0,13.0,25.0
Better Than Revenge (Taylor's Version),Taylor Swift,1.0,2023.0,7.0,7.0,86.0,11.0,30343206,3.0,33.0,3,,1,146.0,B,Minor,wrong_type,67.0,89.0,0.0,0.0,19.0,8.0
Shut up My Moms Calling,Hotel Ugly,1.0,2020.0,2.0,10.0,,14.0,405136812,1.0,50.0,19,0.0,19,,A,Minor,48.0,37.0,,32.0,,10.0,10.0
Have You Ever Seen The Rain?,Creedence Clearwater Revival,1.0,1968.0,7.0,1.0,15890.0,,1145727611,71.0,37.0,653,0.0,167,,,Major,74.0,76.0,70.0,,wrong_type,13.0,3.0
Es un Secreto,Plan B,1.0,2010.0,7.0,20.0,492.0,36.0,540654286,4.0,3.0,19,,0,95.0,F#,Minor,84.0,52.0,wrong_type,12.0,0.0,7.0,4.0
POLARIS - Remix,"Feid, Mora, Saiko, Quevedo",4.0,2023.0,wrong_type,8.0,773.0,33.0,57312735,20.0,46.0,21,8.0,99,170.0,G#,Minor,62.0,55.0,80.0,15.0,0.0,wrong_type,7.0
Ditto,NewJeans,1.0,2022.0,12.0,19.0,1154.0,22.0,397582059,28.0,125.0,11,1.0,51,134.0,F#,Minor,81.0,,64.0,3.0,0.0,10.0,11.0
Take On Me,a-ha,1.0,1984.0,10.0,19.0,44927.0,17.0,1479115056,34.0,0.0,"5,108",6.0,0,84.0,F#,Minor,57.0,86.0,90.0,2.0,0.0,9.0,5.0
"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)","Swae Lee, Lil Wayne, Offset, Metro Boomin",4.0,2023.0,6.0,2.0,551.0,,86773632,13.0,46.0,20,1.0,10,146.0,B,Minor,61.0,20.0,48.0,21.0,0.0,12.0,6.0
"Angel Pt 1 (feat. Jimin of BTS, JVKE & Muni Long)","Kodak Black, NLE Choppa, Muni Long, JVKE, Jimin",,2023.0,5.0,1.0,577.0,14.0,133753727,22.0,18.0,15,1.0,0,74.0,A#,Minor,53.0,24.0,67.0,11.0,0.0,10.0,28.0
Acrï¿½ï¿½s,Shakira,1.0,2023.0,5.0,11.0,955.0,29.0,123124076,37.0,50.0,79,11.0,31,144.0,B,Major,75.0,35.0,wrong_type,84.0,0.0,wrong_type,12.0
AMG,"Natanael Cano, Gabito Ballesteros, Peso Pluma",3.0,2022.0,11.0,24.0,wrong_type,wrong_type,463564958,,117.0,9,5.0,3,136.0,B,Minor,77.0,79.0,73.0,15.0,0.0,27.0,10.0
"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")","Arijit Singh, Sachin-Jigar, Amitabha Bhattacharya",3.0,2023.0,5.0,wrong_type,wrong_type,6.0,64533040,6.0,71.0,1,wrong_type,31,100.0,E,Major,56.0,53.0,55.0,53.0,0.0,12.0,4.0
S-Class,Stray Kids,1.0,2023.0,6.0,2.0,290.0,19.0,65496046,9.0,101.0,5,wrong_type,73,105.0,F,Minor,89.0,wrong_type,78.0,9.0,,7.0,33.0
Hits Different,Taylor Swift,1.0,2023.0,5.0,26.0,547.0,0.0,68616963,15.0,wrong_type,6,0.0,0,106.0,F,Major,,24.0,78.0,15.0,0.0,30.0,4.0
Chanel,"Becky G, Peso Pluma",,wrong_type,wrong_type,30.0,wrong_type,10.0,161460990,,92.0,21,2.0,26,132.0,D,Major,85.0,53.0,68.0,40.0,0.0,9.0,
Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),"Metro Boomin, Coi Leray",2.0,2023.0,6.0,2.0,332.0,,70106975,18.0,41.0,5,0.0,19,120.0,A,Major,78.0,5.0,30.0,21.0,0.0,13.0,5.0
Area Codes,"Kaliii, Kaliii",2.0,2023.0,3.0,17.0,1197.0,13.0,113509496,44.0,34.0,25,1.0,171,155.0,C#,Major,82.0,51.0,39.0,2.0,0.0,9.0,49.0
Abcdario,"Junior H, Eden Muï¿½ï",2.0,2023.0,5.0,13.0,262.0,wrong_type,89933133,8.0,60.0,4,1.0,109,129.0,G#,Major,70.0,,43.0,78.0,0.0,11.0,3.0
Obsessed,"Abhijay Sharma, Riar Saab",2.0,2022.0,,29.0,161.0,6.0,71007139,10.0,79.0,2,0.0,42,135.0,F,Minor,80.0,85.0,74.0,62.0,0.0,8.0,9.0
Piï¿½ï¿½man Deï¿,"Semicenk, Doï¿½ï¿½u ",2.0,2023.0,6.0,2.0,185.0,3.0,43522589,5.0,wrong_type,4,1.0,33,98.0,A#,Minor,73.0,45.0,62.0,28.0,0.0,13.0,13.0
FLOWER,JISOO,1.0,2023.0,3.0,31.0,839.0,18.0,232896922,20.0,110.0,20,0.0,69,124.0,A,Minor,84.0,64.0,39.0,3.0,0.0,11.0,4.0
"All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)","Future, Lil Uzi Vert, Metro Boomin",3.0,2023.0,6.0,2.0,,,37126685,5.0,17.0,5,0.0,0,135.0,A,Minor,77.0,28.0,55.0,wrong_type,0.0,22.0,15.0
Eyes Closed,Ed Sheeran,1.0,2023.0,3.0,23.0,2915.0,30.0,195576623,116.0,69.0,107,3.0,675,107.0,D,Major,78.0,39.0,53.0,,0.0,11.0,6.0
Escapism.,"RAYE, 070 Shake",2.0,2022.0,,12.0,5129.0,25.0,532336353,116.0,84.0,114,18.0,348,96.0,D,Major,54.0,25.0,74.0,14.0,0.0,9.0,11.0
La Jumpa,"Arcangel, Bad Bunny",2.0,2022.0,11.0,30.0,3794.0,34.0,538115192,47.0,77.0,53,10.0,8,123.0,G#,Major,71.0,58.0,70.0,30.0,0.0,32.0,19.0
Karma (feat. Ice Spice),"Taylor Swift, Ice Spice",2.0,2023.0,5.0,26.0,588.0,0.0,46142772,wrong_type,21.0,31,0.0,0,90.0,G#,Major,62.0,7.0,,6.0,0.0,58.0,6.0
Superhero (Heroes & Villains) [with Future & Chris Brown],"Future, Chris Brown, Metro Boomin",3.0,,12.0,2.0,2959.0,16.0,401036314,41.0,69.0,38,0.0,36,117.0,F,Minor,72.0,45.0,59.0,14.0,0.0,20.0,21.0
Las Morras,"BLESSD, Peso Pluma",2.0,2023.0,4.0,4.0,291.0,8.0,127026613,8.0,78.0,4,1.0,1,133.0,A,Minor,78.0,90.0,84.0,31.0,0.0,7.0,4.0
CHORRITO PA LAS ANIMAS,Feid,1.0,2022.0,12.0,2.0,2321.0,36.0,345031710,29.0,65.0,34,5.0,3,96.0,G#,Minor,74.0,61.0,83.0,11.0,0.0,35.0,6.0
Ch y la Pizza,"Fuerza Regida, Natanael Cano",2.0,2022.0,12.0,1.0,536.0,10.0,288101651,10.0,72.0,8,3.0,14,149.0,G#,Major,66.0,85.0,60.0,40.0,0.0,14.0,13.0
Snow On The Beach (feat. More Lana Del Rey),"Lana Del Rey, Taylor Swift",2.0,2023.0,5.0,26.0,359.0,2.0,60350538,1.0,0.0,9,0.0,0,110.0,F#,Minor,66.0,32.0,40.0,81.0,0.0,11.0,3.0
Players,Coi Leray,1.0,2022.0,11.0,30.0,,6.0,335074782,118.0,48.0,143,0.0,240,105.0,F#,Major,95.0,62.0,52.0,wrong_type,0.0,5.0,16.0
Bite Me,ENHYPEN,1.0,2023.0,5.0,22.0,349.0,69.0,76767396,8.0,96.0,5,0.0,56,105.0,C#,Major,80.0,69.0,78.0,28.0,0.0,11.0,14.0
Stand By Me (feat. Morgan Wallen),"Lil Durk, Morgan Wallen",2.0,2023.0,5.0,26.0,381.0,,46065667,23.0,82.0,6,0.0,113,134.0,B,Major,76.0,61.0,58.0,wrong_type,0.0,16.0,3.0
Normal,Feid,1.0,2022.0,7.0,8.0,2461.0,36.0,459276435,47.0,66.0,45,5.0,6,170.0,E,Minor,71.0,59.0,56.0,4.0,0.0,27.0,12.0
Hummingbird (Metro Boomin & James Blake),"James Blake, Metro Boomin",2.0,2023.0,6.0,2.0,277.0,1.0,39666245,1.0,20.0,5,0.0,1,wrong_type,F#,Major,59.0,26.0,60.0,46.0,wrong_type,25.0,13.0
Seu Brilho Sumiu - Ao Vivo,"Israel & Rodolffo, Mari Fernandez",2.0,2023.0,3.0,1.0,967.0,5.0,138517666,7.0,29.0,51,1.0,29,154.0,F#,Major,63.0,75.0,wrong_type,31.0,0.0,91.0,5.0
Bad Habit,Steve Lacy,1.0,2022.0,6.0,29.0,8186.0,12.0,822633917,155.0,72.0,131,16.0,29,169.0,C#,Major,69.0,wrong_type,51.0,63.0,,38.0,4.0
CUFF IT,Beyoncï¿,1.0,2022.0,7.0,29.0,7842.0,10.0,595900742,215.0,88.0,330,26.0,23,115.0,G,Major,78.0,64.0,69.0,4.0,0.0,7.0,
Lilith (feat. SUGA of BTS) (Diablo IV Anthem),"Halsey, Suga",2.0,2023.0,6.0,5.0,215.0,6.0,51985779,6.0,14.0,8,2.0,4,84.0,A,Minor,43.0,14.0,74.0,wrong_type,0.0,19.0,8.0
69,"Nicky Jam, Feid",2.0,2023.0,5.0,18.0,1134.0,,57945987,,14.0,48,2.0,3,93.0,G#,Major,79.0,58.0,62.0,11.0,0.0,11.0,
Niï¿½ï¿½a Bo,"Sean Paul, Feid",2.0,2023.0,4.0,wrong_type,1305.0,34.0,115010040,29.0,26.0,43,wrong_type,44,91.0,G,Major,82.0,,62.0,10.0,,10.0,15.0
Search & Rescue,Drake,,2023.0,,7.0,wrong_type,6.0,175097833,58.0,70.0,43,0.0,182,142.0,A#,Minor,82.0,54.0,44.0,6.0,0.0,33.0,7.0
AMERICA HAS A PROBLEM (feat. Kendrick Lamar),"Kendrick Lamar, Beyoncï¿",2.0,2023.0,5.0,19.0,896.0,0.0,57089066,34.0,2.0,33,0.0,1,126.0,C#,Major,wrong_type,20.0,70.0,1.0,0.0,wrong_type,4.0
Lavender Haze,Taylor Swift,1.0,2022.0,10.0,21.0,3763.0,8.0,488386797,51.0,43.0,38,10.0,1,97.0,A#,Major,73.0,10.0,wrong_type,26.0,0.0,16.0,8.0
"Link Up (Metro Boomin & Don Toliver, Wizkid feat. BEAM & Toian) - Spider-Verse Remix (Spider-Man: Across the Spider-Verse )","WizKid, Toian, Metro Boomin, Don Toliver, Beam",5.0,wrong_type,6.0,wrong_type,,0.0,32761689,3.0,10.0,3,0.0,0,101.0,F,Major,92.0,59.0,51.0,41.0,wrong_type,26.0,8.0
Efecto,Bad Bunny,1.0,2022.0,,6.0,4004.0,33.0,1047480053,34.0,65.0,43,6.0,2,98.0,G,Minor,80.0,23.0,48.0,14.0,0.0,6.0,5.0
Erro Gostoso - Ao Vivo,Simone Mendes,1.0,2023.0,1.0,27.0,984.0,,153454328,8.0,57.0,76,2.0,49,154.0,F#,Major,59.0,63.0,89.0,18.0,wrong_type,80.0,9.0
Cupido,Tini,1.0,2023.0,2.0,14.0,1240.0,24.0,217672943,51.0,29.0,63,4.0,54,120.0,A,Major,wrong_type,63.0,wrong_type,52.0,0.0,31.0,22.0
Just Wanna Rock,Lil Uzi Vert,,2022.0,10.0,17.0,3995.0,13.0,457184829,,27.0,47,0.0,0,150.0,B,Major,49.0,4.0,55.0,7.0,0.0,6.0,3.0
Unstoppable,Sia,1.0,2016.0,wrong_type,21.0,7681.0,13.0,939844851,119.0,66.0,"1,145",2.0,,174.0,A,Major,47.0,27.0,78.0,11.0,wrong_type,10.0,wrong_type
Until I Found You,Stephen Sanchez,1.0,2021.0,9.0,1.0,4427.0,4.0,726434358,69.0,100.0,154,20.0,438,202.0,A#,Major,34.0,25.0,51.0,69.0,0.0,18.0,4.0
Rich Flex,"Drake, 21 Savage",2.0,2022.0,11.0,4.0,4657.0,18.0,573633020,84.0,84.0,42,0.0,23,153.0,B,Minor,56.0,42.0,52.0,5.0,0.0,,24.0
Easy On Me,Adele,,2021.0,10.0,14.0,10195.0,20.0,1406111294,258.0,87.0,657,22.0,9,142.0,F,Major,60.0,13.0,37.0,58.0,0.0,13.0,3.0
Cartï¿½ï¿½o B,"MC Caverinha, KayBlack",2.0,,5.0,,269.0,4.0,71573339,7.0,2.0,30,1.0,11,108.0,A,Minor,84.0,55.0,47.0,26.0,0.0,20.0,64.0
Danger (Spider) (Offset & JID),"Offset, JID",2.0,2023.0,wrong_type,wrong_type,214.0,0.0,24975653,3.0,3.0,6,0.0,0,143.0,B,Major,83.0,25.0,69.0,4.0,0.0,23.0,12.0
Oi Balde - Ao Vivo,Zï¿½ï¿½ Neto & Crist,wrong_type,wrong_type,wrong_type,14.0,845.0,2.0,145458418,12.0,57.0,47,1.0,33,108.0,D,Major,67.0,,67.0,60.0,0.0,80.0,5.0
The Real Slim Shady,Eminem,1.0,2000.0,1.0,1.0,20763.0,27.0,1424589568,81.0,53.0,"3,271",1.0,17,104.0,F,Minor,wrong_type,78.0,66.0,3.0,0.0,4.0,6.0
MERCHO,"Migrantes, LiL CaKe, Nico Valdi",3.0,,12.0,16.0,1267.0,20.0,231332117,41.0,22.0,56,4.0,84,93.0,F#,Minor,84.0,96.0,79.0,43.0,0.0,18.0,11.0
The Color Violet,Tory Lanez,1.0,2021.0,12.0,10.0,2585.0,32.0,415932686,3.0,79.0,21,1.0,54,105.0,F#,Minor,65.0,46.0,53.0,16.0,0.0,9.0,5.0
Glimpse of Us,Joji,,2022.0,,10.0,6330.0,6.0,988515741,109.0,42.0,158,3.0,31,170.0,G#,Major,44.0,27.0,32.0,89.0,0.0,14.0,5.0
Mejor Que Yo,"Mambo Kingz, DJ Luian, Anuel Aa",3.0,2023.0,5.0,4.0,675.0,1.0,50847624,9.0,13.0,11,,1,178.0,C#,Minor,62.0,56.0,66.0,18.0,0.0,12.0,5.0
Curtains,Ed Sheeran,1.0,2023.0,5.0,5.0,715.0,0.0,39893489,wrong_type,3.0,27,0.0,50,176.0,F#,Minor,50.0,44.0,76.0,,,32.0,5.0
UNFORGIVEN (feat. Nile Rodgers),"Nile Rodgers, LE SSERAFIM",wrong_type,2023.0,5.0,1.0,,13.0,92035115,14.0,110.0,9,,49,104.0,E,Minor,80.0,,88.0,11.0,0.0,11.0,5.0
Haegeum,Agust D,1.0,2023.0,4.0,wrong_type,244.0,12.0,118810253,6.0,84.0,10,2.0,9,85.0,G,Major,70.0,83.0,84.0,31.0,0.0,47.0,30.0
Conexï¿½ï¿½es de Mï¿½ï¿½fia (feat. Rich ,"Rich The Kid, Matuï¿",wrong_type,2023.0,4.0,30.0,385.0,4.0,77233241,17.0,7.0,41,1.0,29,117.0,F#,Minor,77.0,69.0,58.0,39.0,0.0,26.0,5.0
